repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
insidelearningmachines/Blog,insidelearningmachines,User,gc|md|st,28,6,1,87,1,insidelearningmachines,0,,,0,0,7268,Jupyter Notebook,,2021-01-04,2026-07-28,False,False,False,https://www.insidelearningmachines.com,machine-learning|machine-learning-algorithms|data-science|statistics|python3|numpy|pandas|matplotlib-pyplot|jupyter,This repository is meant to store the code examples used in articles posted on www.insidelearningmachines.com. Each article on the website will have an associated jupyter notebook here with the same name.,ok,2026-08-14,,,,,,,,,,,
gpsaggese/gpsaggese.github.io,gpsaggese,User,gc|md|req|sm|st,28,63,1,404,19,gpsaggese|aver81|protocorn|PranavShashidhara|Eyepatch0,0,,,55,301,2157886,Jupyter Notebook,,2025-07-08,2026-08-18,False,False,False,,,,ok,2026-08-18,,,,,,,,,,,
mvechtomova/oreilly-mlops-with-databricks,mvechtomova,User,gc|md|st,27,33,1,48,5,mvechtomova|Maria Vechtomova|github-actions[bot]|Maria Vechtomova|mariavechtomova,0,,,0,1,1776,Python,MIT,2025-03-29,2026-08-10,False,False,False,,,Code repository accompanying O'Reilly MLOps with Databricks book,ok,2026-08-14,,,,,,,,,,,
nhsx/skunkworks-synthetic-data,nhsx,Organization,ev|req,26,8,4,6,1,matthewcooper19,0,,,0,2,666,Python,MIT,2022-06-14,2022-07-11,False,False,False,,,A pipeline for generating and evaluating synthetic data generation models. Currently using SynthVAE to demonstrate functionality. Read more about the project here: https://nhsx.github.io/skunkworks/synthetic-data-pipeline,ok,2026-08-14,,,,,,,,,,,
yuntaod/SynMeter,yuntaod,User,rdt,26,2,2,17,3,yuntaod|zealscott|ytdu,0,synmeter,,0,0,2960,Python,Apache-2.0,2024-01-15,2025-08-17,False,False,False,https://arxiv.org/abs/2402.06806,machine-learning|privacy|pytorch|synthetic-data|tabular-data|differential-privacy|generative-ai|diffusion-models,"A principled library for tuning, training and evaluating tabular data synthesis on fidelity, privacy and utility. CCS 2025.",ok,2026-08-14,,,,,,,,,,,
kasaai/ctgan,kasaai,Organization,ct,25,11,2,46,1,kevinykuo,0,,,3,5,64,R,NOASSERTION,2019-11-05,2022-07-15,False,False,False,,r,R interface to CTGAN,ok,2026-08-14,,,,,,,,,,,
LifeJiggy/Awesome-Grok-Skills,LifeJiggy,User,ct,24,5,1,36,2,LifeJiggy|kriptoburak,0,awesome-grok-skills,,0,2,14078,Python,MIT,2026-01-21,2026-07-23,False,False,False,,,"A comprehensive collection of skills and agents designed specifically for **Grok** - the AI with a personality that combines physics expertise, real-time data access, meme culture awareness, and coding efficiency. Each skill is optimized for Grok's unique strengths and communication style.",ok,2026-08-14,,,,,,,,,,,
google/dpsynth,google,Organization,sm,24,6,2,130,11,Ryan McKenna|ganevgv|copybara-github|hanzalaareeb|timlukin,0,dpsynth,,3,128,966,Python,Apache-2.0,2026-05-06,2026-08-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
hwyler/HernanHuwylerRiskManagement,hwyler,User,ct|md|st,24,9,4,88,1,hwyler,0,,,0,1,254,,,2023-10-14,2026-01-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
samfallahian/ContextAwareTabular-CGAN,samfallahian,User,rdt,23,4,1,109,1,samfallahian,0,,,0,0,123860,Python,GPL-3.0,2022-05-30,2024-03-25,False,False,False,,,This GitHub page is created for CA-CTGAN: Context Aware Conditional Tabular GAN for High-Fidelity Tabular Data Synthesis Using Transfer Learning,ok,2026-08-14,,,,,,,,,,,
sattarov/FedTabDiff,sattarov,User,md|req,23,3,1,11,2,sattarov|fwtsinghua,0,,,1,2,3697,Python,MIT,2023-12-21,2024-11-10,False,False,False,https://arxiv.org/abs/2401.06263,,"Implementation of the paper: ""FedTabDiff: Federated Learning of Diffusion Models for Synthetic Mixed-Type Tabular Data Generation""",ok,2026-08-14,,,,,,,,,,,
vibeforge1111/vibeship-spawner,vibeforge1111,User,ct|ev|gc|md|st,23,8,0,399,1,vibeforge1111,0,,,0,30,63265,TypeScript,,2025-12-06,2026-01-03,False,False,False,,,"an orchestration tool with specialized skilled agents, to get much better outputs, and automate everything. for vibe coders",ok,2026-08-14,,,,,,,,,,,
Urz1/synthetic-data-studio,Urz1,User,ct|gc|md|st,22,0,0,133,1,Urz1,0,,,0,44,4117,TypeScript,MIT,2025-10-08,2026-03-30,False,False,False,https://www.synthdata.studio/,ai|compliance-documents|differential-privacy|ml|privacy-protection|privacy-report|schema-data|sdv|synthetic-data,"Generate hyper-realistic, privacy-safe synthetic data and compliance packs for regulated startups, Bootcamps, competitions, and Learning.",ok,2026-08-14,,,,,,,,,,,
markl-a/My-AI-Learning-Notes,markl-a,User,hma|par,22,4,1,475,3,markl-a|claude|Clawtex,0,my-ai-learning-notes,,0,87,1023759,Jupyter Notebook,MIT,2024-07-26,2026-08-12,False,False,False,,agent|ai|ai-engineering|anthropic|chinese|deep-learning|interview-preparation|jupyter|learning-resources|llm|llmops|machine-learning|openai|prompt-engineering|python|rag|study-notes|taiwan|traditional-chinese|transformer,繁中 AI / LLM 學習路徑 + 面試準備教材 + 2024-2025 研究前沿。,ok,2026-08-14,,,,,,,,,,,
mihaela-stoian/ConstrainedDGM,mihaela-stoian,User,rdt,21,4,1,20,2,mihaela-stoian|salijona,0,,,0,0,262,Python,Apache-2.0,2024-01-27,2025-04-15,False,False,False,,constraints|neuro-symbolic|requirements|tabular-data|neurosymbolic|neurosymbolic-ai,"Code for the ICLR 2024 paper ""How Realistic Is Your Synthetic Data? Constraining Deep Generative Models for Tabular Data""",ok,2026-08-14,,,,,,,,,,,
weipang142857/ClavaDDPM,weipang142857,User,ct|ev|md|req|st,21,2,1,6,3,weipang142857|Wei Pang|Wei Pang,0,,,0,0,30210,Python,,2024-06-22,2024-10-27,False,False,False,,,"[NeurIPS 2024] Official implementation of ""ClavaDDPM:Multi-relational Data Synthesis with Cluster-guided Diffusion Models""",ok,2026-08-14,,,,,,,,,,,
bvshyam/ctgan_tabular_data,bvshyam,User,ct,20,3,1,4,1,bvshyam,0,,,1,0,1777,Jupyter Notebook,Apache-2.0,2020-04-29,2020-04-29,False,False,False,,,Creating tabular GAN on credit card dataset,ok,2026-08-14,,,,,,,,,,,
redcican/pycaret-streamlit,redcican,User,req,20,15,1,122,3,sbshchen|redcican|shikun chen,0,,,0,1,5879,Jupyter Notebook,,2021-02-04,2022-03-08,False,False,False,,machine-learning|streamlit-webapp,An End-to-End Machine Learning Web Application for Classification and Regression problem using AutoML framework Pycaret.,ok,2026-08-14,,,,,,,,,,,
lynnlangit/learning-ethical-ai,lynnlangit,User,ct,19,7,2,125,2,lynnlangit|Lynn Langit,0,,,0,8,25362,Jupyter Notebook,Apache-2.0,2021-12-15,2026-04-07,False,False,False,,ai|ethics|machine-learning|tensorflow,Resources to learn how to implement ethical AI,ok,2026-08-14,,,,,,,,,,,
PacktPublishing/Time-Series-Analysis-with-Spark,PacktPublishing,Organization,gc|md|st,18,18,1,141,6,SweetyPagaria|yoni-r|Karanspackt|gaurgv|al3xdm,0,,,0,3,40191,Jupyter Notebook,MIT,2024-02-06,2026-06-08,False,False,False,,,"Time Series Analysis with Spark, published by Packt",ok,2026-08-14,,,,,,,,,,,
Salim-Lysiun/ARNN,Salim-Lysiun,User,req,18,0,1,23,1,Salim-Lysiun,0,,,0,0,754,Python,,2024-01-24,2024-03-08,False,False,False,,,ARNN: Attentive Recurrent Neural Network for Multi-channel EEG Signals to Identify Epileptic Seizures,ok,2026-08-14,,,,,,,,,,,
MischaD/BeyondFID,MischaD,User,req,17,1,1,50,1,MischaD,0,beyondfid,,0,0,260,Python,,2024-08-27,2026-04-14,False,False,False,,,A python package to streamline evaluation of unconditional image generation models,ok,2026-08-14,,,,,,,,,,,
ParkLabML/DP-MERF,ParkLabML,User,gym,16,6,3,5,3,ParkLabML|frhrdr|mijungi,0,,,3,2,656,Python,MIT,2021-02-19,2023-03-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
YSCHOI-github/Customs_Fraud_Detection,YSCHOI-github,User,ct,16,13,1,30,1,YSCHOI-github,0,,,1,0,9504,Jupyter Notebook,,2020-07-12,2020-07-16,False,False,False,,,BACUDA project (WCO BAnd of CUstoms Data Analysts),ok,2026-08-14,,,,,,,,,,,
calvinmccarter/unmasking-trees,calvinmccarter,User,ct|gc|md|st,16,0,1,90,1,calvinmccarter,0,utrees,,0,0,7757,Jupyter Notebook,MIT,2024-06-19,2025-03-10,False,False,False,,generative-model|imputation|tabular-data,"Tabular data imputation and generation, with flexible modeling of quantitative features via hierarchical binning (TMLR, 2025)",ok,2026-08-14,,,,,,,,,,,
emredeveloper/ai-data-handbook,emredeveloper,User,ev|gc|st,16,0,2,127,2,emredeveloper|google-labs-jules[bot],0,,,0,3,127164,Jupyter Notebook,Apache-2.0,2025-04-29,2025-10-18,False,False,False,https://emredeveloper.vercel.app/,ai|data-science|deep-learning|jupyter-notebook|llms|machine-learning|mongodb|open-source|python,"A practical, notebook-based AI and data science handbook for learners and researchers. Built with Python & Jupyter.",ok,2026-08-14,,,,,,,,,,,
ml-toolkits/mlflavors,ml-toolkits,Organization,ev|hma|mt|req,16,2,0,155,2,benjaminbluhm|oorjaa-sagar,0,mlflavors,,1,23,203,Python,BSD-3-Clause,2022-12-29,2023-11-17,False,False,False,,,A collection of MLflow custom flavors,ok,2026-08-14,,,,,,,,,,,
novelcore/synthetic_data_evaluation_framework,novelcore,Organization,md,16,0,0,7,1,ilivieris,0,,,1,0,295,Python,MIT,2024-04-06,2024-06-28,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
transferwise/neural-lifetimes,transferwise,Organization,md|rdt|req,16,5,2,32,4,wisecornelius|dependabot[bot]|markharley|pereplanellTW,0,neural-lifetimes,,1,71,4721,Python,NOASSERTION,2022-03-28,2023-06-26,False,False,False,,,User behavior prediction from event data.,ok,2026-08-14,,,,,,,,,,,
BetterCodeBetterScience/book,BetterCodeBetterScience,Organization,gc|md|st,15,5,0,3,1,poldrack,0,bettercode-book,,8,13,33955,HTML,NOASSERTION,2025-12-29,2026-07-03,False,False,False,https://bettercodebetterscience.github.io/book/,,"Repo for Better Code, Better Science book",ok,2026-08-14,,,,,,,,,,,
bigdyl-kaist/OCTGAN,bigdyl-kaist,Organization,ct,15,1,0,6,1,JayoungKim408,0,,,1,0,942,Python,,2021-12-08,2022-10-10,False,False,False,,,PyTorch implementation for OCT-GAN Neural ODE-based Conditional Tabular GANs (WWW 2021),ok,2026-08-14,,,,,,,,,,,
manik-marwaha/Predicting-fraudulent-transactions-in-cryptos,manik-marwaha,User,ct,15,0,1,5,2,manik-marwaha|Manik Marwaha,0,,,0,0,3410,Python,,2022-01-29,2024-07-13,False,False,False,,,"using the Elliptic Data Set (https://www.kaggle.com/ellipticco/elliptic-data-set) and working to improve on the orignals results by Weber, Mark, et al. ""Anti-money laundering in bitcoin: Experimenting with graph convolutional networks for financial forensics."" arXiv preprint arXiv:1908.02591 (2019).  We use ML models such as SVM and Random Forest. Oversampling techiques such as SMOTE, ctCAN and GMM were used to address the class imbalance problem in the dataset. Also, we generated node embeddings using DeepWalk and trained ML models on them.",ok,2026-08-14,,,,,,,,,,,
smduan/Fed-TDA,smduan,User,rdt,15,6,1,33,2,ailosasa|smduan,0,,,0,0,4487,Python,MIT,2022-08-04,2023-01-11,False,False,False,,,The implementation of our paper Fed-TDA,ok,2026-08-14,,,,,,,,,,,
coksvictoria/TTVAE,coksvictoria,User,gc|md|rdt|req|st,14,1,2,13,2,coksvictoria|ngphubinh,0,,,0,0,26108,Python,,2024-01-07,2025-10-10,False,False,False,,,TTVAE: Transformer-based Generative Modelling For Tabular Data Generation,ok,2026-08-14,,,,,,,,,,,
javaidiqbal11/Mimicked-Mouse-Movement-NeuralNetwork,javaidiqbal11,User,req,14,5,1,4,1,javaidiqbal11,0,,,2,0,8059,Python,,2021-01-29,2021-01-31,False,False,False,https://www.jtech.com.pk/,mouse-movement|neural-network|python3,"The goal is to develop a neural network/machine learning-based solution to generate mimicked movements from a mouse given an initial xy position and a final XY position. Datasets will not be provided, and the different vectors used to generate the path will need to be determined.",ok,2026-08-14,,,,,,,,,,,
marvinrichter/clarc,marvinrichter,User,gc|md|st,14,0,0,838,60,marvinrichter|affaan-m|pangerlkr|Copilot|OkminLee,0,,,0,58,19746,JavaScript,MIT,2026-03-06,2026-08-03,False,False,False,https://marvinrichter.github.io/clarc,ai-agents|claude|claude-code|cli|developer-tools|llm|productivity|workflow,"Production-grade Claude Code workflow OS — agents, skills, hooks, commands, rules, and a continuous learning flywheel.",ok,2026-08-14,,,,,,,,,,,
DependableSystemsLab/MIA_defense_HAMP,DependableSystemsLab,Organization,ct|rdt,13,1,6,11,1,zitaoc,0,,,2,0,1854,Python,,2023-07-04,2023-09-06,False,False,False,,,"Code for the paper ""Overconfidence is a Dangerous Thing: Mitigating Membership Inference Attacks by Enforcing Less Confident Prediction"" in NDSS'24.",ok,2026-08-14,,,,,,,,,,,
MaterSim/LEGO-xtal,MaterSim,Organization,rdt,13,4,0,61,2,oridwan|qzhu2017,0,,,0,1,18048,Python,MIT,2025-05-03,2026-01-30,False,False,False,,,LEGO-Cryst: Local Environment Geometry-Oriented Crystal Generator,ok,2026-08-14,,,,,,,,,,,
Patricia-A-Apellaniz/vae-bgm_data_generator,Patricia-A-Apellaniz,User,ct|md|req|st,13,7,2,11,1,Patricia-A-Apellaniz,0,,,1,0,31514,Python,MIT,2024-03-07,2024-11-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Scherzan/Unlocking-Information-Creating-Synthetic-Data-for-Open-Access,Scherzan,User,ct|ev|md|req|st,13,2,1,61,2,Scherzan|antonia,0,synthetic_data_talk,,0,10,11511,Jupyter Notebook,,2023-03-09,2026-01-26,False,False,False,https://www.youtube.com/watch?v=N1i_Z-WKaRs&list=PLGVZCDnMOq0peDguAzds7kVmBr8avp46K&index=13,data-science|gan|general-adversarial-network|pycon2023|streamlit|synthetic-data|synthetic-tabular-data|synthetic-data-quality,"Presentation material for my talk at Pycon DE 2023: Intro on synthetic tabular data including synthetic data generation, evaluation metrics and common problems of synthetic data generation projects.",ok,2026-08-14,,,,,,,,,,,
bips-hb/RFAE,bips-hb,Organization,md|st,13,0,2,43,3,binhducvu|mnwright|jkapar,0,,,0,0,483233,R,,2025-09-26,2026-01-28,False,False,False,https://bips-hb.github.io/RFAE/,,"This repository contains the code and material to reproduce the results of the manuscript ""Autoencoding Random Forests"". The paper has been accepted at NeurIPS 2025.",ok,2026-08-14,,,,,,,,,,,
kisehyun/STUDY,kisehyun,User,ct,13,21,1,223,1,kisehyun,0,,,0,0,16401,Jupyter Notebook,,2021-01-01,2023-04-01,False,False,False,,pytorch|tensorflow2|pyspark|adp|xai,:chart_with_upwards_trend: 개인 공부,ok,2026-08-14,,,,,,,,,,,
mkduong-ai/fairdo,mkduong-ai,User,gc|md|req,13,1,1,845,4,mkduong-ai|Manh Khoi Duong|99991|Manh Khoi Duong,0,fairdo,,0,2,1504,Python,MIT,2023-08-23,2024-08-26,False,False,False,,data|fairness-ml|machinelearning,A Python package for mitigating bias in tabular data.,ok,2026-08-14,,,,,,,,,,,
akohsa/BEAS,akohsa,User,ct,12,1,2,10,2,akohsa|akohsa,0,,,1,0,910520,Jupyter Notebook,,2021-02-04,2021-05-21,False,False,False,,,Blockchain Enabled Asynchronous and Secure Federated Machine Learning,ok,2026-08-14,,,,,,,,,,,
SWE-bench-Live/submission,SWE-bench-Live,Organization,ct|gc|hma|md|par|st,11,9,1,68,10,njukenanli|ccamacho|bdragan|elizabeth-mcdowell-ps|Elizabeth McDowell,0,,,0,25,809278,Shell,,2025-05-27,2026-08-13,False,False,False,,,Submit your results on SWE-bench-Live,ok,2026-08-14,,,,,,,,,,,
ValterH/RelDiff,ValterH,User,md,11,1,1,3,1,ValterH,0,reldiff,,2,0,707,Python,MIT,2025-05-30,2026-05-18,False,False,False,,,RelDiff: Relational Data Generative Modeling with Graph-Based Diffusion Models,ok,2026-08-14,,,,,,,,,,,
neurominer-git/NeuroMiner_1.2,neurominer-git,User,req,11,7,1,674,10,neurominer-git|claravetter|csvetter|Clara Vetter|claravetter,0,,,0,0,156250,MATLAB,NOASSERTION,2023-09-18,2024-10-06,False,False,False,https://neurominer-git.github.io/NeuroMiner_1.2/,algorithm-library|data-science|machine-learning,This is the official distribution directory of NeuroMiner 1.2 (Feanor),ok,2026-08-14,,,,,,,,,,,
privacy-enhancing-technologies/SynEval,privacy-enhancing-technologies,Organization,ct|ev|gc|md|req|st,11,6,0,3,1,Yuan,0,syneval,,0,8,3551,Python,MIT,2025-09-08,2026-08-04,False,False,False,,,Comprehensive evaluation tools for synthetic data.,ok,2026-08-14,,,,,,,,,,,
ptidejteam/ptidej-Ptidej,ptidejteam,Organization,sm,11,17,2,357,26,yann-gael|Yann-Gaël Guéhéneuc|luca-sctr|aliiimaher|SikandarEjaz,0,,,312,82,1050863,Java,GPL-2.0,2023-07-17,2026-08-06,False,False,False,https://wiki.ptidej.net,antipatterns|design-patterns|dynamic-analysis|idioms|metrics|static-analysis|archiectural-styles,"The Ptidej tool suite to evaluate and enhance the quality of object-oriented programs, promoting the use of patterns, at the language-, design-, or architectural-levels",ok,2026-08-14,,,,,,,,,,,
seedatnabeel/TRIAGE,seedatnabeel,User,req,11,3,1,7,3,seedatnabeel|gkr-bot|robsdavis,0,TRIAGE,,1,1,23654,Jupyter Notebook,Apache-2.0,2023-10-11,2024-03-14,False,False,False,,data-centric-ai|data-centric-machine-learning|reliable-ai|trustworthy-ai|trustworthy-machine-learning,TRIAGE: Characterizing and auditing training data for improved regression (NeurIPS 2023),ok,2026-08-14,,,,,,,,,,,
BiggyBing/CausalTGAN,BiggyBing,User,rdt,10,3,1,51,2,CYP0630|BiggyBing,0,,,0,0,3385,Python,,2022-04-15,2022-10-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
KaiChen9909/tab_bench,KaiChen9909,User,ct|rdt,10,0,3,28,1,KaiChen9909,0,,,1,0,8351,Python,,2024-11-26,2025-09-24,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
SCU-TrustworthyAI/SynEval,SCU-TrustworthyAI,Organization,ev|md|req,10,0,1,7,4,yefyuan|flyuan|Aria068|Yuan,0,syneval,,0,0,13391,Python,MIT,2024-04-18,2025-08-27,False,False,False,,,"An evaluation framework that assesses the fidelity, utility, diversity, and privacy of synthetic tabular data generated by large language models.",ok,2026-08-14,,,,,,,,,,,
Schoenebeck-Lab/Augmentation,Schoenebeck-Lab,Organization,ct|md|st,10,1,1,2,1,Tinjj,0,aixchem,,0,0,3135,Python,MIT,2025-04-08,2026-01-27,False,False,False,,,Code associated with the following paper: https://doi.org/10.1021/jacs.5c11632,ok,2026-08-14,,,,,,,,,,,
raashidsalih/churn-pipeline,raashidsalih,User,gc|req|st,10,0,1,86,1,raashidsalih,0,,,0,1,6820,HTML,,2023-08-06,2025-05-15,False,False,False,,,A custom end-to-end analytics platform for customer churn,ok,2026-08-14,,,,,,,,,,,
rrmenon10/ExEnt,rrmenon10,User,req,10,0,1,3,1,rrmenon10,0,,,0,0,172,Python,MIT,2022-04-14,2022-06-05,False,False,False,,,[ACL 2022] CLUES: A Benchmark for Learning Classifiers using Natural Language Explanations,ok,2026-08-14,,,,,,,,,,,
smohiudd/pedestrian-collision-prediction,smohiudd,User,ct|md|req|st,10,1,1,3,1,smohiudd,0,,,0,0,9052,Jupyter Notebook,,2023-12-05,2023-12-22,False,False,False,,scikit-learn|sdv|srai,Pedestrian collision prediction using GeoVex embeddings and linear classifier,ok,2026-08-14,,,,,,,,,,,
spack/pypi-to-spack-package,spack,Organization,req,10,4,4,221,1,haampie,8,pypi-to-spack-package,,1,1,735,Python,NOASSERTION,2024-02-22,2026-02-20,False,False,False,,,Convert PyPI entries to Spack package.py,ok,2026-08-14,,,,,,,,,,,
vdarsel/PopulationSynthesis,vdarsel,User,rdt,10,2,0,98,2,vdarsel|maxcolomb,0,,,0,2,158,Python,,2025-05-28,2026-08-03,False,False,False,,,Open-source models for population synthesis for reproducible science,ok,2026-08-14,,,,,,,,,,,
lianxhcn/ds,lianxhcn,User,ct,9,84,0,30,3,lianxhcn|arlionn|wenxilian,0,,,0,1,300215,Jupyter Notebook,MIT,2025-08-22,2026-03-20,False,False,False,https://lianxhcn.github.io/ds/,copilot|data-analysis|data-science|jupyter-notebook|python,"""数据分析与经济决策"" 课程主页",ok,2026-08-14,,,,,,,,,,,
omaralvarez/gentab,omaralvarez,User,ct|gc|md|st,9,1,2,174,2,omaralvarez|emilioj,0,gentab,,0,0,556,Python,GPL-3.0,2023-06-05,2025-08-09,False,False,False,,,Tabular Synthetic Data Augmentation Library,ok,2026-08-14,,,,,,,,,,,
serval-uni-lu/constrained-attacks,serval-uni-lu,Organization,req,9,2,6,352,2,thibaultsmnt|yamizi,0,constrained-attacks,,0,0,2467,Python,MIT,2022-05-11,2024-07-29,False,False,False,,,Constrained adversarial attacks for ML models.,ok,2026-08-14,,,,,,,,,,,
